;x_1;x_2;y;theta_1;theta_2;theta_0
0;1.76;0.4;-1.0;-1.76;-0.4;-1.0
1;0.979;2.24;-1.0;-1.76;-0.4;-1.0
2;1.87;-0.977;-1.0;-1.76;-0.4;-1.0
3;0.95;-0.151;-1.0;-1.76;-0.4;-1.0
4;-0.103;0.411;-1.0;-1.76;-0.4;-1.0
5;0.144;1.45;-1.0;-1.76;-0.4;-1.0
6;0.761;0.122;-1.0;-1.76;-0.4;-1.0
7;0.444;0.334;-1.0;-1.76;-0.4;-1.0
8;1.49;-0.205;-1.0;-1.76;-0.4;-1.0
9;0.313;-0.854;-1.0;-1.76;-0.4;-1.0
10;-2.55;0.654;-1.0;0.7899999999999998;-1.054;-2.0
11;0.864;-0.742;-1.0;0.7899999999999998;-1.054;-2.0
12;2.27;-1.45;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
13;0.0458;-0.187;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
14;1.53;1.47;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
15;0.155;0.378;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
16;-0.8878;-1.9808;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
17;-0.348;0.156;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
18;1.23;1.2;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
19;-0.3873;-0.3023;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
20;-1.0486;-1.42;-1.0;-1.4800000000000002;0.3959999999999999;-3.0
21;-1.71;1.95;-1.0;0.22999999999999976;-1.554;-4.0
22;-0.5097;-0.4381;-1.0;0.22999999999999976;-1.554;-4.0
23;-1.25;0.777;-1.0;0.22999999999999976;-1.554;-4.0
24;-1.6139;-0.2127;-1.0;0.22999999999999976;-1.554;-4.0
25;-0.895;0.387;-1.0;0.22999999999999976;-1.554;-4.0
26;-0.5108;-1.1806;-1.0;0.22999999999999976;-1.554;-4.0
27;-0.0282;0.428;-1.0;0.22999999999999976;-1.554;-4.0
28;0.0665;0.302;-1.0;0.22999999999999976;-1.554;-4.0
29;-0.6343;-0.3627;-1.0;0.22999999999999976;-1.554;-4.0
30;-0.6725;-0.3596;-1.0;0.22999999999999976;-1.554;-4.0
31;-0.8131;-1.7263;-1.0;0.22999999999999976;-1.554;-4.0
32;0.177;-0.402;-1.0;0.22999999999999976;-1.554;-4.0
33;-1.63;0.463;-1.0;0.22999999999999976;-1.554;-4.0
34;-0.907;0.0519;-1.0;0.22999999999999976;-1.554;-4.0
